query_type,api_type,response_time_ms,payload_size_bytes,trial,timestamp
simple,REST,294.1633330001423,1229,1,2025-11-27T20:05:40.442920
complex,REST,1292.1986249998554,68702,1,2025-11-27T20:05:42.238443
medium,REST,496.6482080003516,19939,1,2025-11-27T20:05:43.242417
simple,GraphQL,385.0207909999881,123,1,2025-11-27T20:05:44.132124
complex,GraphQL,502.086916999815,794,1,2025-11-27T20:05:45.139969
medium,GraphQL,422.5409169998784,724,1,2025-11-27T20:05:46.070095
complex,GraphQL,414.2092080001021,794,2,2025-11-27T20:05:46.988883
medium,GraphQL,428.72258299985333,724,2,2025-11-27T20:05:47.925559
simple,GraphQL,413.9107910000348,123,2,2025-11-27T20:05:48.847249
complex,REST,1471.7738750000535,68702,2,2025-11-27T20:05:50.826027
medium,REST,483.95687499987616,19939,2,2025-11-27T20:05:51.817900
simple,REST,298.9267920002021,1229,2,2025-11-27T20:05:52.625087
medium,GraphQL,423.910375000105,724,3,2025-11-27T20:05:53.555079
simple,GraphQL,366.59300000019357,123,3,2025-11-27T20:05:54.429419
complex,GraphQL,477.91020799968464,794,3,2025-11-27T20:05:55.415988
medium,REST,549.4624170000861,19939,3,2025-11-27T20:05:56.473460
simple,REST,286.1560839996855,1229,3,2025-11-27T20:05:57.262792
complex,REST,1411.0529579998001,68702,3,2025-11-27T20:05:59.181056
simple,REST,433.2013329999427,1229,4,2025-11-27T20:06:00.120440
complex,REST,1638.2502500000555,68702,4,2025-11-27T20:06:02.266272
medium,REST,512.1835830000236,19939,4,2025-11-27T20:06:03.285958
simple,GraphQL,413.6759580001126,123,4,2025-11-27T20:06:04.207836
complex,GraphQL,465.3293329997723,794,4,2025-11-27T20:06:05.177352
medium,GraphQL,358.87420799963365,724,4,2025-11-27T20:06:06.044078
complex,GraphQL,741.4087500001187,794,5,2025-11-27T20:06:07.288856
simple,GraphQL,406.1924170000566,123,5,2025-11-27T20:06:08.200843
medium,GraphQL,521.3922910002111,724,5,2025-11-27T20:06:09.225599
complex,REST,1512.6627089998692,68702,5,2025-11-27T20:06:11.241796
simple,REST,305.96420899973964,1229,5,2025-11-27T20:06:12.054196
medium,REST,556.0366670001713,19939,5,2025-11-27T20:06:13.116525
complex,REST,1444.3449170003078,68702,6,2025-11-27T20:06:15.063166
simple,REST,328.7246250001772,1229,6,2025-11-27T20:06:15.898299
medium,REST,604.1482499999802,19939,6,2025-11-27T20:06:17.008460
complex,GraphQL,515.8451249999416,794,6,2025-11-27T20:06:18.031440
simple,GraphQL,307.49874999992244,123,6,2025-11-27T20:06:18.844296
medium,GraphQL,522.7421249996951,724,6,2025-11-27T20:06:19.874924
medium,GraphQL,445.95079200007604,724,7,2025-11-27T20:06:20.829514
complex,GraphQL,483.26829200004795,794,7,2025-11-27T20:06:21.820463
simple,GraphQL,449.5715000002747,123,7,2025-11-27T20:06:22.777645
medium,REST,582.6603339996836,19939,7,2025-11-27T20:06:23.866827
complex,REST,1589.3927089996396,68702,7,2025-11-27T20:06:25.963530
simple,REST,590.1947920001476,1229,7,2025-11-27T20:06:27.056595
complex,GraphQL,505.47733300027176,794,8,2025-11-27T20:06:28.065320
simple,GraphQL,517.7666660001705,123,8,2025-11-27T20:06:29.090841
medium,GraphQL,417.07199999973454,724,8,2025-11-27T20:06:30.012794
complex,REST,1405.2259169998251,68702,8,2025-11-27T20:06:31.924348
simple,REST,302.1720829997321,1229,8,2025-11-27T20:06:32.734749
medium,REST,558.3584590003738,19939,8,2025-11-27T20:06:33.799432
complex,GraphQL,462.3052500000995,794,9,2025-11-27T20:06:34.770279
simple,GraphQL,365.9507500001382,123,9,2025-11-27T20:06:35.642598
medium,GraphQL,621.1968329998854,724,9,2025-11-27T20:06:36.771607
complex,REST,1544.6302919999653,68702,9,2025-11-27T20:06:38.822500
simple,REST,301.1313329998302,1229,9,2025-11-27T20:06:39.629856
medium,REST,532.3260830000436,19939,9,2025-11-27T20:06:40.664140
medium,GraphQL,437.77858400017067,724,10,2025-11-27T20:06:41.603224
complex,GraphQL,433.9359999999033,794,10,2025-11-27T20:06:42.544565
simple,GraphQL,373.82912500015664,123,10,2025-11-27T20:06:43.424743
medium,REST,512.879249999969,19939,10,2025-11-27T20:06:44.443597
complex,REST,1753.9802079995752,68702,10,2025-11-27T20:06:46.704824
simple,REST,302.28170800000953,1229,10,2025-11-27T20:06:47.515226
medium,GraphQL,376.45824999981414,724,11,2025-11-27T20:06:48.397994
complex,GraphQL,563.2210000003397,794,11,2025-11-27T20:06:49.468629
simple,GraphQL,345.6640829999742,123,11,2025-11-27T20:06:50.320137
medium,REST,476.96224999981496,19939,11,2025-11-27T20:06:51.304374
complex,REST,1431.5395419998822,68702,11,2025-11-27T20:06:53.241120
simple,REST,285.1466669999354,1229,11,2025-11-27T20:06:54.032600
simple,REST,280.6932080002298,1229,12,2025-11-27T20:06:54.819475
complex,REST,1432.5739159999102,68702,12,2025-11-27T20:06:56.757770
medium,REST,501.0025830001723,19939,12,2025-11-27T20:06:57.765826
simple,GraphQL,412.5487080000312,123,12,2025-11-27T20:06:58.686443
complex,GraphQL,820.6527500001357,794,12,2025-11-27T20:07:00.013326
medium,GraphQL,516.6527500000484,724,12,2025-11-27T20:07:01.036559
medium,REST,621.9716249997873,19939,13,2025-11-27T20:07:02.164524
complex,REST,1395.6069169998955,68702,13,2025-11-27T20:07:04.067148
simple,REST,349.52579099990544,1229,13,2025-11-27T20:07:04.924134
medium,GraphQL,425.3219170000193,724,13,2025-11-27T20:07:05.853165
complex,GraphQL,621.4222080002401,794,13,2025-11-27T20:07:06.978915
simple,GraphQL,315.7074579999062,123,13,2025-11-27T20:07:07.802512
complex,GraphQL,424.2772080001487,794,14,2025-11-27T20:07:08.730824
medium,GraphQL,373.2432920000974,724,14,2025-11-27T20:07:09.611199
simple,GraphQL,307.39295900002617,123,14,2025-11-27T20:07:10.426374
complex,REST,1304.1717910000443,68702,14,2025-11-27T20:07:12.237503
medium,REST,400.9517499998765,19939,14,2025-11-27T20:07:13.145598
simple,REST,296.9988749996446,1229,14,2025-11-27T20:07:13.950953
medium,GraphQL,388.7593750000633,724,15,2025-11-27T20:07:14.844119
complex,GraphQL,413.55379100014034,794,15,2025-11-27T20:07:15.765997
simple,GraphQL,372.3197090002941,123,15,2025-11-27T20:07:16.646786
medium,REST,482.62341700001343,19939,15,2025-11-27T20:07:17.632420
complex,REST,1338.9551669997672,68702,15,2025-11-27T20:07:19.478932
simple,REST,309.27004200020747,1229,15,2025-11-27T20:07:20.296645
simple,GraphQL,324.7292909995849,123,16,2025-11-27T20:07:21.130222
medium,GraphQL,350.9932909996678,724,16,2025-11-27T20:07:21.985703
complex,GraphQL,416.8867500002307,794,16,2025-11-27T20:07:22.908764
simple,REST,284.57475000004706,1229,16,2025-11-27T20:07:23.701253
medium,REST,466.1801249999371,19939,16,2025-11-27T20:07:24.674189
complex,REST,1583.6209999997664,68702,16,2025-11-27T20:07:26.765200
simple,REST,284.56245799998214,1229,17,2025-11-27T20:07:27.558522
complex,REST,1450.7840419996683,68702,17,2025-11-27T20:07:29.512201
medium,REST,1023.693749999893,19939,17,2025-11-27T20:07:31.043650
simple,GraphQL,327.026165999996,123,17,2025-11-27T20:07:31.878486
complex,GraphQL,507.5042499997835,794,17,2025-11-27T20:07:32.889115
medium,GraphQL,516.5251250000438,724,17,2025-11-27T20:07:33.912938
complex,REST,1545.118709000235,68702,18,2025-11-27T20:07:35.962692
simple,REST,311.7491670000163,1229,18,2025-11-27T20:07:36.781826
medium,REST,482.2140000001127,19939,18,2025-11-27T20:07:37.771178
complex,GraphQL,553.4906249999949,794,18,2025-11-27T20:07:38.831094
simple,GraphQL,303.6755840003025,123,18,2025-11-27T20:07:39.638075
medium,GraphQL,382.25970899975437,724,18,2025-11-27T20:07:40.523894
simple,GraphQL,359.94337500005713,123,19,2025-11-27T20:07:41.391091
complex,GraphQL,614.684166999723,794,19,2025-11-27T20:07:42.513557
medium,GraphQL,524.6795839998413,724,19,2025-11-27T20:07:43.542491
simple,REST,307.57966700002726,1229,19,2025-11-27T20:07:44.353402
complex,REST,1547.3629580001216,68702,19,2025-11-27T20:07:46.407728
medium,REST,514.472416999979,19939,19,2025-11-27T20:07:47.429651
simple,REST,294.785624999804,1229,20,2025-11-27T20:07:48.232190
complex,REST,1457.733332999851,68702,20,2025-11-27T20:07:50.197796
medium,REST,516.4108750000196,19939,20,2025-11-27T20:07:51.217603
simple,GraphQL,321.08658300012394,123,20,2025-11-27T20:07:52.044654
complex,GraphQL,460.2923750003356,794,20,2025-11-27T20:07:53.010899
medium,GraphQL,463.7155420000454,724,20,2025-11-27T20:07:53.982504
simple,GraphQL,413.3007919999727,123,21,2025-11-27T20:07:54.903645
complex,GraphQL,517.4932919999264,794,21,2025-11-27T20:07:55.929287
medium,GraphQL,374.4099579998874,724,21,2025-11-27T20:07:56.811875
simple,REST,561.9586660000095,1229,21,2025-11-27T20:07:57.881797
complex,REST,1340.1991250002538,68702,21,2025-11-27T20:07:59.729175
medium,REST,711.3764169998831,19939,21,2025-11-27T20:08:00.948415
complex,REST,1397.148584000206,68702,22,2025-11-27T20:08:02.848779
medium,REST,560.9957090000535,19939,22,2025-11-27T20:08:03.915654
simple,REST,335.7204589997309,1229,22,2025-11-27T20:08:04.757245
complex,GraphQL,596.6122499999074,794,22,2025-11-27T20:08:05.862019
medium,GraphQL,415.55491600001915,724,22,2025-11-27T20:08:06.783652
simple,GraphQL,822.9672080001365,123,22,2025-11-27T20:08:08.115170
medium,REST,515.2524999998604,19939,23,2025-11-27T20:08:09.137906
complex,REST,1343.1369159998212,68702,23,2025-11-27T20:08:10.984989
simple,REST,296.5255420003814,1229,23,2025-11-27T20:08:11.789331
medium,GraphQL,528.103583000302,724,23,2025-11-27T20:08:12.825620
complex,GraphQL,514.464708000105,794,23,2025-11-27T20:08:13.848644
simple,GraphQL,320.2005830003145,123,23,2025-11-27T20:08:14.677510
medium,REST,507.83291700008704,19939,24,2025-11-27T20:08:15.693216
simple,REST,314.43674999991345,1229,24,2025-11-27T20:08:16.511372
complex,REST,1441.9715829999404,68702,24,2025-11-27T20:08:18.460350
medium,GraphQL,416.3892080000551,724,24,2025-11-27T20:08:19.385080
simple,GraphQL,407.6330410002811,123,24,2025-11-27T20:08:20.300555
complex,GraphQL,451.21008299975074,794,24,2025-11-27T20:08:21.260422
complex,GraphQL,476.9759589999012,794,25,2025-11-27T20:08:22.245533
simple,GraphQL,720.4081659997428,123,25,2025-11-27T20:08:23.474283
medium,GraphQL,415.92420899996796,724,25,2025-11-27T20:08:24.396132
complex,REST,1406.4610420000463,68702,25,2025-11-27T20:08:26.309077
simple,REST,320.8415829999467,1229,25,2025-11-27T20:08:27.134311
medium,REST,543.9773749999404,19939,25,2025-11-27T20:08:28.186141
complex,REST,1770.202917000006,68702,26,2025-11-27T20:08:30.464475
simple,REST,347.15412500008824,1229,26,2025-11-27T20:08:31.317975
medium,REST,671.2411250000514,19939,26,2025-11-27T20:08:32.496902
complex,GraphQL,504.53858299988497,794,26,2025-11-27T20:08:33.509575
simple,GraphQL,324.91016699987085,123,26,2025-11-27T20:08:34.337763
medium,GraphQL,813.3121669998218,724,26,2025-11-27T20:08:35.658532
complex,REST,1444.6825840000201,68702,27,2025-11-27T20:08:37.608430
simple,REST,303.54258399984246,1229,27,2025-11-27T20:08:38.419925
medium,REST,624.127457999748,19939,27,2025-11-27T20:08:39.551251
complex,GraphQL,720.2332500000921,794,27,2025-11-27T20:08:40.777828
simple,GraphQL,518.5209169999325,123,27,2025-11-27T20:08:41.804455
medium,GraphQL,390.9467080002287,724,27,2025-11-27T20:08:42.703414
simple,REST,304.07437499980006,1229,28,2025-11-27T20:08:43.515939
medium,REST,545.9285420001834,19939,28,2025-11-27T20:08:44.569694
complex,REST,2260.2222500004245,68702,28,2025-11-27T20:08:47.337092
simple,GraphQL,408.83983399999124,123,28,2025-11-27T20:08:48.252337
medium,GraphQL,518.5512909997669,724,28,2025-11-27T20:08:49.278245
complex,GraphQL,516.8441670002721,794,28,2025-11-27T20:08:50.302842
medium,GraphQL,824.1497090002667,724,29,2025-11-27T20:08:51.635240
simple,GraphQL,310.2400839998154,123,29,2025-11-27T20:08:52.453365
complex,GraphQL,516.9603750000533,794,29,2025-11-27T20:08:53.478871
medium,REST,516.6611250001552,19939,29,2025-11-27T20:08:54.502682
simple,REST,300.6387499999619,1229,29,2025-11-27T20:08:55.311374
complex,REST,1656.8307920001644,68702,29,2025-11-27T20:08:57.475334
medium,GraphQL,412.26624999990236,724,30,2025-11-27T20:08:58.393060
simple,GraphQL,326.5230000001793,123,30,2025-11-27T20:08:59.226167
complex,GraphQL,502.6754590003293,794,30,2025-11-27T20:09:00.236550
medium,REST,516.9884160000038,19939,30,2025-11-27T20:09:01.261032
simple,REST,617.6198749999458,1229,30,2025-11-27T20:09:02.386285
complex,REST,1608.585709000181,68702,30,2025-11-27T20:09:04.499577
